epci
Bordeaux Métropole
CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS)
CA Bergeracoise
CA Grand Châtellerault
CA Le Grand Périgueux
CA Pau Béarn Pyrénées
CA Royan Atlantique
CA Val de Garonne Agglomération
CA d'Agen
CA de La Rochelle
CA de Saintes
CA du Bassin d'Arcachon Nord
CA du Bassin de Brive
CA du Grand Angoulême
CA du Grand Cognac
CA du Grand Dax
CA du Grand Guéret
CA du Grand Villeneuvois
CA du Libournais
CA du Niortais
CA du Pays Basque
CC Albret Communauté
CC Aunis Atlantique
CC Aunis Sud
CC Castillon/Pujols
CC Charente-Arnoult-Coeur de Saintonge
CC Coeur de Charente
CC Isle Double Landais
CC Jalle-Eau-Bourde
CC La Rochefoucauld - Porte du Périgord
CC Latitude Nord Gironde
CC Lavalette Tude Dronne
CC Maremne Adour Côte Sud
CC Monts et Vallées Ouest Creuse
CC Médoc Atlantique
CC Médoc Coeur de Presqu'île
CC Médoc Estuaire
CC Médullienne
CC Ouest Limousin
CC Porte d'Aquitaine en Pays de Serres
CC Portes de la Creuse en Marche
CC Périgord-Limousin
CC Val de Charente
CC Val de Gâtine
CC Vals de Saintonge
CC de Blaye
CC de Charente Limousine
CC de Gémozac et de la Saintonge Viticole
CC de Mimizan
CC de Montesquieu
CC de Portes Sud Périgord
CC de Ventadour - Egletons - Monédières
CC de l'Estuaire
CC de l'Ile d'Oléron
CC de l'Ile de Ré
CC de la Haute Saintonge
CC de la Vallée d'Ossau
CC de la Vallée de l'Homme
CC des 4B Sud Charente
CC des Bastides Dordogne-Périgord
CC des Grands Lacs
CC des Portes de l'Entre-Deux-Mers
CC des Vallées du Clain
CC du Civraisien en Poitou
CC du Confluent et des Coteaux de Prayssas
CC du Créonnais
CC du Fronsadais
CC du Grand Cubzaguais
CC du Grand Saint Emilionnais
CC du Haut Béarn
CC du Pays de Fénelon
CC du Pays de Saint Aulaye
CC du Périgord Nontronnais
CC du Rouillacais
CC du Réolais en Sud Gironde
CC du Secteur de Saint-Loubès
CC du Sud Gironde
CC du Terrassonnais en Périgord Noir Thenon Hautefort
CC du Val de l'Eyre
CC rurales de l'Entre-Deux-Mers
CU Limoges Métropole
CU du Grand Poitiers
