latitude,longitude,town,postcode,epci,county,total_weight,epci_weight,postcode_weight,town_weight,county_weight,num_county,num_epci,num_town
45.6754,0.24273000000000003,Ruelle-sur-Touvre,16600.0,CA du Grand Angoulême,Charente,29.373688180058725,1.8170731707317074,0.11386138613861387,0.02608695652173913,27.416666666666668,1.0,14.0,244.0
45.59092,0.27279000000000003,Dirac,16410.0,CA du Grand Angoulême,Charente,29.353039593460934,1.8170731707317074,0.09900990099009901,0.020289855072463767,27.416666666666668,1.0,14.0,99.0
45.54825,0.12207000000000001,Mouthiers-sur-Boëme,16440.0,CA du Grand Angoulême,Charente,29.292787046467108,1.8170731707317074,0.04455445544554455,0.014492753623188406,27.416666666666668,1.0,14.0,214.0
45.64459,0.11869,Angoulême,16000.0,CA du Grand Angoulême,Charente,29.37007216628344,1.8170731707317074,0.08415841584158416,0.05217391304347826,27.416666666666668,1.0,14.0,11.0
45.70302,-0.30443000000000003,Boutiers-Saint-Trojan,16100.0,CA du Grand Cognac,Charente,28.30969047594049,0.8170731707317073,0.06435643564356436,0.011594202898550725,27.416666666666668,1.0,15.0,43.0
45.63751,0.14252,Angoulême,16000.0,CA du Grand Angoulême,Charente,29.37007216628344,1.8170731707317074,0.08415841584158416,0.05217391304347826,27.416666666666668,1.0,14.0,11.0
45.64074,0.19529000000000002,Soyaux,16800.0,CA du Grand Angoulême,Charente,29.3122302951398,1.8170731707317074,0.04950495049504951,0.028985507246376812,27.416666666666668,1.0,14.0,313.0
45.6417,-0.13820000000000002,Saint-Même-les-Carrières,16720.0,CA du Grand Cognac,Charente,28.24158888317252,0.8170731707317073,0.0049504950495049506,0.002898550724637681,27.416666666666668,1.0,15.0,276.0
45.79096,0.30160000000000003,La Rochette,16110.0,CC La Rochefoucauld - Porte du Périgord,Charente,27.711525081458305,0.23170731707317074,0.054455445544554455,0.008695652173913044,27.416666666666668,1.0,30.0,145.0
45.73976,0.24252,Brie,16590.0,CA du Grand Angoulême,Charente,29.307279800090296,1.8170731707317074,0.04455445544554455,0.028985507246376812,27.416666666666668,1.0,14.0,45.0
45.68457,0.23062000000000002,Ruelle-sur-Touvre,16600.0,CA du Grand Angoulême,Charente,29.373688180058725,1.8170731707317074,0.11386138613861387,0.02608695652173913,27.416666666666668,1.0,14.0,244.0
45.72674,0.22393000000000002,Champniers,16430.0,CA du Grand Angoulême,Charente,29.3378293767871,1.8170731707317074,0.06930693069306931,0.034782608695652174,27.416666666666668,1.0,14.0,67.0
45.27346,-0.5716,Saint-Aubin-de-Blaye,33820.0,CC de l'Estuaire,Gironde,21.71895012406861,0.036585365853658534,0.009900990099009901,0.005797101449275362,21.666666666666668,7.0,53.0,250.0
45.64063,0.19340000000000002,Soyaux,16800.0,CA du Grand Angoulême,Charente,29.3122302951398,1.8170731707317074,0.04950495049504951,0.028985507246376812,27.416666666666668,1.0,14.0,313.0
45.67585,0.13639,Saint-Yrieix-sur-Charente,16710.0,CA du Grand Angoulême,Charente,29.307279800090296,1.8170731707317074,0.04455445544554455,0.028985507246376812,27.416666666666668,1.0,14.0,292.0
45.69194,0.02475,Asnières-sur-Nouère,16290.0,CA du Grand Angoulême,Charente,29.274190404194183,1.8170731707317074,0.034653465346534656,0.005797101449275362,27.416666666666668,1.0,14.0,20.0
45.62375,0.1296,La Couronne,16400.0,CA du Grand Angoulême,Charente,29.34567842256124,1.8170731707317074,0.07425742574257425,0.03768115942028986,27.416666666666668,1.0,14.0,140.0
45.32927,-0.5001,Courpignac,17130.0,CC de la Haute Saintonge,Charente-Maritime,5.556367922052014,0.12195121951219512,0.01485148514851485,0.002898550724637681,5.416666666666667,2.0,56.0,90.0
45.57575,-0.31472,Cierzac,17520.0,CC de la Haute Saintonge,Charente-Maritime,5.546466931953004,0.12195121951219512,0.0049504950495049506,0.002898550724637681,5.416666666666667,2.0,56.0,82.0
45.5872,-0.33126000000000005,Salles-d'Angles,16130.0,CC de la Haute Saintonge,Charente,27.61082336759657,0.12195121951219512,0.06930693069306931,0.002898550724637681,27.416666666666668,1.0,56.0,300.0
45.64026,0.13609000000000002,Angoulême,16000.0,CA du Grand Angoulême,Charente,29.37007216628344,1.8170731707317074,0.08415841584158416,0.05217391304347826,27.416666666666668,1.0,14.0,11.0
45.65353,-1.1246,Saint-Palais-sur-Mer,17420.0,CA Royan Atlantique,,0.12545418910926087,0.10975609756097561,0.009900990099009901,0.005797101449275362,0.0,0.0,7.0,278.0
45.64625,0.11170000000000001,Angoulême,16000.0,CA du Grand Angoulême,Charente,29.37007216628344,1.8170731707317074,0.08415841584158416,0.05217391304347826,27.416666666666668,1.0,14.0,11.0
45.64735,0.11632,Angoulême,16000.0,CA du Grand Angoulême,Charente,29.37007216628344,1.8170731707317074,0.08415841584158416,0.05217391304347826,27.416666666666668,1.0,14.0,11.0
45.65433,0.25470000000000004,Touvre,16600.0,CA du Grand Angoulême,Charente,29.350499774261625,1.8170731707317074,0.11386138613861387,0.002898550724637681,27.416666666666668,1.0,14.0,324.0
45.79641,-0.03003,Saint-Cybardeaux,16170.0,CC du Rouillacais,Charente,27.592110181325662,0.13414634146341464,0.0297029702970297,0.011594202898550725,27.416666666666668,1.0,74.0,255.0
45.70727,-0.30167000000000005,Boutiers-Saint-Trojan,16100.0,CA du Grand Cognac,Charente,28.30969047594049,0.8170731707317073,0.06435643564356436,0.011594202898550725,27.416666666666668,1.0,15.0,43.0
